"","YM","N","Freq","rates","masked"
"55","2014-07",25,4458,0.00560789591745177,0
"56","2014-08",45,4467,0.010073875083949,0
"57","2014-09",45,4467,0.010073875083949,0
"58","2014-10",0,4445,0,0
"59","2014-11",25,4445,0.00562429696287964,0
"60","2014-12",25,4445,0.00562429696287964,0
"61","2015-01",45,4459,0.0100919488674591,0
"62","2015-02",0,4459,0,0
"63","2015-03",45,4450,0.0101123595505618,0
"64","2015-04",45,4450,0.0101123595505618,0
"65","2015-05",45,4464,0.0100806451612903,0
"66","2015-06",0,4446,0,0
"67","2015-07",25,4420,0.00565610859728507,0
"68","2015-08",45,4412,0.0101994560290118,0
"69","2015-09",0,4386,0,0
"70","2015-10",45,4368,0.0103021978021978,0
"71","2015-11",45,4359,0.0103234686854783,0
"72","2015-12",0,4341,0,0
"73","2016-01",0,4323,0,0
"74","2016-02",25,4301,0.00581260172053011,0
"75","2016-03",45,4292,0.0104846225535881,0
"76","2016-04",45,4297,0.0104724226204329,0
"77","2016-05",0,4270,0,0
"78","2016-06",45,4234,0.0106282475200756,0
"79","2016-07",45,4248,0.0105932203389831,0
"80","2016-08",0,4249,0,0
"81","2016-09",0,4231,0,0
"82","2016-10",45,4231,0.010635783502718,0
"83","2016-11",0,4226,0,0
"84","2016-12",45,4235,0.0106257378984652,0
"85","2017-01",45,4199,0.0107168373422243,0
"86","2017-02",25,4199,0.00595379852345797,0
"87","2017-03",45,4199,0.0107168373422243,0
"88","2017-04",45,4181,0.0107629753647453,0
"89","2017-05",45,4168,0.0107965451055662,0
"90","2017-06",25,4151,0.00602264514574801,0
"91","2017-07",45,4138,0.0108748187530208,0
"92","2017-08",45,4103,0.0109675846941262,0
"93","2017-09",0,4089,0,0
"94","2017-10",50,4084,0.0122428991185113,0
"95","2017-11",25,4048,0.00617588932806324,0
"96","2017-12",45,4052,0.0111056268509378,0
"97","2018-01",45,4030,0.011166253101737,0
"98","2018-02",45,4017,0.0112023898431665,0
"99","2018-03",45,4017,0.0112023898431665,0
"100","2018-04",45,4008,0.0112275449101796,0
"101","2018-05",45,3991,0.0112753695815585,0
"102","2018-06",45,3982,0.0113008538422903,0
"103","2018-07",45,3946,0.0114039533705018,0
"104","2018-08",45,3928,0.0114562118126273,0
"105","2018-09",45,3915,0.0114942528735632,0
"106","2018-10",45,3906,0.0115207373271889,0
"107","2018-11",45,3884,0.0115859938208033,0
"108","2018-12",45,3866,0.0116399379203311,0
"109","2019-01",45,3866,0.0116399379203311,0
"110","2019-02",0,3857,0,0
"111","2019-03",45,3848,0.0116943866943867,0
"112","2019-04",45,3830,0.0117493472584856,0
"113","2019-05",45,3830,0.0117493472584856,0
"114","2019-06",45,3825,0.0117647058823529,0
"115","2019-07",0,3812,0,0
"116","2019-08",45,3808,0.0118172268907563,0
"117","2019-09",45,3804,0.0118296529968454,0
"118","2019-10",45,3804,0.0118296529968454,0
"119","2019-11",45,3805,0.011826544021025,0
"120","2019-12",45,3805,0.011826544021025,0
"121","2020-01",45,3778,0.0119110640550556,0
"122","2020-02",0,3769,0,0
"123","2020-03",0,3774,0,0
"124","2020-04",0,3774,0,0
"125","2020-05",0,3792,0,0
"126","2020-06",0,3756,0,0
"127","2020-07",0,3756,0,0
"128","2020-08",0,3751,0,0
"129","2020-09",0,3733,0,0
"130","2020-10",0,3742,0,0
"131","2020-11",0,3728,0,0
"132","2020-12",0,3723,0,0
