"concept","concept_name","original_code","code","pregnancy_filter","vocabulary"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","198913008","interruption_pregnancy","SNOMEDCT_US"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","360561001","interruption_pregnancy","SNOMEDCT_US"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","198908009","interruption_pregnancy","SNOMEDCT_US"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","198909001","interruption_pregnancy","SNOMEDCT_US"
"C0000832","Abruptio Placentae","156102007,198908009,198909001,198913008,360561001,405736009,","405736009","interruption_pregnancy","SNOMEDCT_US"
"C0000832","Abruptio Placentae","641.20000000000005","641.20000000000005","interruption_pregnancy","ICD9CM"
"C0000832","Abruptio Placentae","L112.,L112z,L1120","L112.","interruption_pregnancy","RCD2"
"C0000832","Abruptio Placentae","L112.,L112z,L1120","L112z","interruption_pregnancy","RCD2"
"C0000832","Abruptio Placentae","L112.,L112z,L1120","L1120","interruption_pregnancy","RCD2"
"C0000832","Abruptio Placentae","O45","O45","interruption_pregnancy","ICD10CM"
"C0000832","Abruptio Placentae","XE0vp,L112z,L1120","XE0vp","interruption_pregnancy","RCD"
"C0000832","Abruptio Placentae","XE0vp,L112z,L1120","L1120","interruption_pregnancy","RCD"
"C0000832","Abruptio Placentae","XE0vp,L112z,L1120","L112z","interruption_pregnancy","RCD"
"C0002453","Amenorrhea","14302001,156037007,","156037007","start_of_pregnancy","SNOMEDCT_US"
"C0002453","Amenorrhea","14302001,156037007,","14302001","start_of_pregnancy","SNOMEDCT_US"
"C0002453","Amenorrhea","626","626","start_of_pregnancy","ICD9CM"
"C0002453","Amenorrhea","K590.,K590z","K590.","start_of_pregnancy","RCD"
"C0002453","Amenorrhea","K590.,K590z","K590.","start_of_pregnancy","RCD2"
"C0002453","Amenorrhea","K590.,K590z","K590z","start_of_pregnancy","RCD"
"C0002453","Amenorrhea","K590.,K590z","K590z","start_of_pregnancy","RCD2"
"C0002453","Amenorrhea","K590.,K590z","K590.","start_of_pregnancy","RCD"
"C0002453","Amenorrhea","K590.,K590z","K590.","start_of_pregnancy","RCD2"
"C0002453","Amenorrhea","K590.,K590z","K590z","start_of_pregnancy","RCD"
"C0002453","Amenorrhea","K590.,K590z","K590z","start_of_pregnancy","RCD2"
"C0002453","Amenorrhea","N91.2","N91.2","start_of_pregnancy","ICD10CM"
"C0002453","Amenorrhea","X05001","X05001","start_of_pregnancy","ICPC2P"
"C0002631","Infection of amniotic cavity","10573002,199675000,199676004,199679006,312194002,","199675000","ongoing_pregnancy","SNOMEDCT_US"
"C0002631","Infection of amniotic cavity","10573002,199675000,199676004,199679006,312194002,","199679006","ongoing_pregnancy","SNOMEDCT_US"
"C0002631","Infection of amniotic cavity","10573002,199675000,199676004,199679006,312194002,","312194002","ongoing_pregnancy","SNOMEDCT_US"
"C0002631","Infection of amniotic cavity","10573002,199675000,199676004,199679006,312194002,","199676004","ongoing_pregnancy","SNOMEDCT_US"
"C0002631","Infection of amniotic cavity","10573002,199675000,199676004,199679006,312194002,","10573002","ongoing_pregnancy","SNOMEDCT_US"
"C0002631","Infection of amniotic cavity","658.4","658.4","ongoing_pregnancy","ICD9CM"
"C0002631","Infection of amniotic cavity","L2840,L284z,XaDdf","L284z","ongoing_pregnancy","RCD"
"C0002631","Infection of amniotic cavity","L2840,L284z,XaDdf","XaDdf","ongoing_pregnancy","RCD"
"C0002631","Infection of amniotic cavity","L2840,L284z,XaDdf","L2840","ongoing_pregnancy","RCD"
"C0002631","Infection of amniotic cavity","L284z,L284.,L2840","L2840","ongoing_pregnancy","RCD2"
"C0002631","Infection of amniotic cavity","L284z,L284.,L2840","L284.","ongoing_pregnancy","RCD2"
"C0002631","Infection of amniotic cavity","L284z,L284.,L2840","L284z","ongoing_pregnancy","RCD2"
"C0004045","Asphyxia Neonatorum","157098009,206278008,268831004,28314004,","157098009","end_of_pregnancy","SNOMEDCT_US"
"C0004045","Asphyxia Neonatorum","157098009,206278008,268831004,28314004,","206278008","end_of_pregnancy","SNOMEDCT_US"
"C0004045","Asphyxia Neonatorum","157098009,206278008,268831004,28314004,","28314004","end_of_pregnancy","SNOMEDCT_US"
"C0004045","Asphyxia Neonatorum","157098009,206278008,268831004,28314004,","268831004","end_of_pregnancy","SNOMEDCT_US"
"C0004045","Asphyxia Neonatorum","768.9","768.9","end_of_pregnancy","ICD9CM"
"C0004045","Asphyxia Neonatorum","A94003","A94003","end_of_pregnancy","ICPC2P"
"C0004045","Asphyxia Neonatorum","P21,P84","P84","end_of_pregnancy","ICD10CM"
"C0004045","Asphyxia Neonatorum","P21,P84","P21","end_of_pregnancy","ICD10CM"
"C0004045","Asphyxia Neonatorum","Q21z.","Q21z.","end_of_pregnancy","RCD2"
"C0004045","Asphyxia Neonatorum","Xa08o,XE1el","XE1el","end_of_pregnancy","RCD"
"C0004045","Asphyxia Neonatorum","Xa08o,XE1el","Xa08o","end_of_pregnancy","RCD"
"C0005604","Birth Injuries","157089006,157097004,","157089006","end_of_pregnancy","SNOMEDCT_US"
"C0005604","Birth Injuries","157089006,157097004,","157097004","end_of_pregnancy","SNOMEDCT_US"
"C0005604","Birth Injuries","767","767","end_of_pregnancy","ICD9CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P12","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P13","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P11","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P10","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P14","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","P10,P11,P12,P13,P14,P15","P15","end_of_pregnancy","ICD10CM"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20..","end_of_pregnancy","RCD2"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20..","end_of_pregnancy","RCD"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20z.","end_of_pregnancy","RCD2"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20z.","end_of_pregnancy","RCD"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20..","end_of_pregnancy","RCD2"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20..","end_of_pregnancy","RCD"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20z.","end_of_pregnancy","RCD2"
"C0005604","Birth Injuries","Q20..,Q20z.","Q20z.","end_of_pregnancy","RCD"
"C0006158","Breech presentation, delivery, no version (procedure)","306727001,","306727001","end_of_pregnancy","SNOMEDCT_US"
"C0006158","Breech presentation, delivery, no version (procedure)","652.20000000000005","652.20000000000005","end_of_pregnancy","ICD9CM"
"C0007871","Uterine Cervical Incompetence","156172008,199481003,199486008,36836005,","156172008","ongoing_pregnancy","SNOMEDCT_US"
"C0007871","Uterine Cervical Incompetence","156172008,199481003,199486008,36836005,","199481003","ongoing_pregnancy","SNOMEDCT_US"
"C0007871","Uterine Cervical Incompetence","156172008,199481003,199486008,36836005,","36836005","ongoing_pregnancy","SNOMEDCT_US"
"C0007871","Uterine Cervical Incompetence","156172008,199481003,199486008,36836005,","199486008","ongoing_pregnancy","SNOMEDCT_US"
"C0007871","Uterine Cervical Incompetence","622.5","622.5","ongoing_pregnancy","ICD9CM"
"C0007871","Uterine Cervical Incompetence","K555.,L245z,L2450","L2450","ongoing_pregnancy","RCD"
"C0007871","Uterine Cervical Incompetence","K555.,L245z,L2450","L245z","ongoing_pregnancy","RCD"
"C0007871","Uterine Cervical Incompetence","K555.,L245z,L2450","K555.","ongoing_pregnancy","RCD"
"C0007871","Uterine Cervical Incompetence","L245z,K555.,L2450","K555.","ongoing_pregnancy","RCD2"
"C0007871","Uterine Cervical Incompetence","L245z,K555.,L2450","L245z","ongoing_pregnancy","RCD2"
"C0007871","Uterine Cervical Incompetence","L245z,K555.,L2450","L2450","ongoing_pregnancy","RCD2"
"C0007871","Uterine Cervical Incompetence","N88.3","N88.3","ongoing_pregnancy","ICD10CM"
"C0007871","Uterine Cervical Incompetence","W84010,X85009","W84010","ongoing_pregnancy","ICPC2P"
"C0007871","Uterine Cervical Incompetence","W84010,X85009","X85009","ongoing_pregnancy","ICPC2P"
"C0013927","Embolism, Amniotic Fluid","17263003,","17263003","end_of_pregnancy","SNOMEDCT_US"
"C0013927","Embolism, Amniotic Fluid","673.1","673.1","end_of_pregnancy","ICD9CM"
"C0013927","Embolism, Amniotic Fluid","O88.1","O88.1","end_of_pregnancy","ICD10CM"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","111468003","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","123307003","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","157130001","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","206431009","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","206436004","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","25121006","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","387705004","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","111468003,123307003,157130001,206429000,206431009,206436004,25121006,387705004,","206429000","ongoing_pregnancy","SNOMEDCT_US"
"C0014761","Erythroblastosis, Fetal","773","773","ongoing_pregnancy","ICD9CM"
"C0014761","Erythroblastosis, Fetal","A94007","A94007","ongoing_pregnancy","ICPC2P"
"C0014761","Erythroblastosis, Fetal","P55","P55","ongoing_pregnancy","ICD10CM"
"C0014761","Erythroblastosis, Fetal","Q42..,Q422.,Q42z.","Q42..","ongoing_pregnancy","RCD2"
"C0014761","Erythroblastosis, Fetal","Q42..,Q422.,Q42z.","Q422.","ongoing_pregnancy","RCD2"
"C0014761","Erythroblastosis, Fetal","Q42..,Q422.,Q42z.","Q42z.","ongoing_pregnancy","RCD2"
"C0014761","Erythroblastosis, Fetal","Xa08x,Q422.,Q42z.","Q42z.","ongoing_pregnancy","RCD"
"C0014761","Erythroblastosis, Fetal","Xa08x,Q422.,Q42z.","Xa08x","ongoing_pregnancy","RCD"
"C0014761","Erythroblastosis, Fetal","Xa08x,Q422.,Q42z.","Q422.","ongoing_pregnancy","RCD"
"C0015931","Fetal distress affecting management of mother","12867002","12867002","ongoing_pregnancy","SNOMEDCT_US"
"C0015931","Fetal distress affecting management of mother","656.3","656.3","ongoing_pregnancy","ICD9CM"
"C0015934","Fetal Growth Retardation","156185006,206166000,22033007,","22033007","ongoing_pregnancy","SNOMEDCT_US"
"C0015934","Fetal Growth Retardation","156185006,206166000,22033007,","156185006","ongoing_pregnancy","SNOMEDCT_US"
"C0015934","Fetal Growth Retardation","156185006,206166000,22033007,","206166000","ongoing_pregnancy","SNOMEDCT_US"
"C0015934","Fetal Growth Retardation","764.9","764.9","ongoing_pregnancy","ICD9CM"
"C0015934","Fetal Growth Retardation","P05.9","P05.9","ongoing_pregnancy","ICD10CM"
"C0015934","Fetal Growth Retardation","Q10z.","Q10z.","ongoing_pregnancy","RCD2"
"C0015934","Fetal Growth Retardation","W84015","W84015","ongoing_pregnancy","ICPC2P"
"C0015934","Fetal Growth Retardation","XE1eV,X70Er","X70Er","ongoing_pregnancy","RCD"
"C0015934","Fetal Growth Retardation","XE1eV,X70Er","XE1eV","ongoing_pregnancy","RCD"
"C0015944","Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,","199663005","end_of_pregnancy","SNOMEDCT_US"
"C0015944","Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,","237266003","end_of_pregnancy","SNOMEDCT_US"
"C0015944","Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,","199657001","end_of_pregnancy","SNOMEDCT_US"
"C0015944","Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,","156189000","end_of_pregnancy","SNOMEDCT_US"
"C0015944","Fetal Membranes, Premature Rupture","156189000,156191008,199657001,199663005,237266003,","156191008","end_of_pregnancy","SNOMEDCT_US"
"C0015944","Fetal Membranes, Premature Rupture","658.1","658.1","end_of_pregnancy","ICD9CM"
"C0015944","Fetal Membranes, Premature Rupture","L281.,L2810,L281z","L2810","end_of_pregnancy","RCD2"
"C0015944","Fetal Membranes, Premature Rupture","L281.,L2810,L281z","L281z","end_of_pregnancy","RCD2"
"C0015944","Fetal Membranes, Premature Rupture","L281.,L2810,L281z","L281.","end_of_pregnancy","RCD2"
"C0015944","Fetal Membranes, Premature Rupture","L281.,X40Bg,L2810,L281z","L2810","end_of_pregnancy","RCD"
"C0015944","Fetal Membranes, Premature Rupture","L281.,X40Bg,L2810,L281z","X40Bg","end_of_pregnancy","RCD"
"C0015944","Fetal Membranes, Premature Rupture","L281.,X40Bg,L2810,L281z","L281.","end_of_pregnancy","RCD"
"C0015944","Fetal Membranes, Premature Rupture","L281.,X40Bg,L2810,L281z","L281z","end_of_pregnancy","RCD"
"C0015944","Fetal Membranes, Premature Rupture","O42","O42","end_of_pregnancy","ICD10CM"
"C0015944","Fetal Membranes, Premature Rupture","W84027","W84027","end_of_pregnancy","ICPC2P"
"C0015959","Fetomaternal Transfusion","199576009,199579002,206392000,24141009,71028008,","199576009","end_of_pregnancy","SNOMEDCT_US"
"C0015959","Fetomaternal Transfusion","199576009,199579002,206392000,24141009,71028008,","71028008","end_of_pregnancy","SNOMEDCT_US"
"C0015959","Fetomaternal Transfusion","199576009,199579002,206392000,24141009,71028008,","199579002","end_of_pregnancy","SNOMEDCT_US"
"C0015959","Fetomaternal Transfusion","199576009,199579002,206392000,24141009,71028008,","206392000","end_of_pregnancy","SNOMEDCT_US"
"C0015959","Fetomaternal Transfusion","199576009,199579002,206392000,24141009,71028008,","24141009","end_of_pregnancy","SNOMEDCT_US"
"C0015959","Fetomaternal Transfusion","656","656","end_of_pregnancy","ICD9CM"
"C0015959","Fetomaternal Transfusion","L2600,L260z,L260.","L260.","end_of_pregnancy","RCD"
"C0015959","Fetomaternal Transfusion","L2600,L260z,L260.","L2600","end_of_pregnancy","RCD"
"C0015959","Fetomaternal Transfusion","L2600,L260z,L260.","L260z","end_of_pregnancy","RCD"
"C0015959","Fetomaternal Transfusion","L260z,L260.,L2600","L260z","end_of_pregnancy","RCD2"
"C0015959","Fetomaternal Transfusion","L260z,L260.,L2600","L260.","end_of_pregnancy","RCD2"
"C0015959","Fetomaternal Transfusion","L260z,L260.,L2600","L2600","end_of_pregnancy","RCD2"
"C0019088","Hemorrhagic Disease of Newborn","12546009,","12546009","end_of_pregnancy","SNOMEDCT_US"
"C0019088","Hemorrhagic Disease of Newborn","776","776","end_of_pregnancy","ICD9CM"
"C0019088","Hemorrhagic Disease of Newborn","P53","P53","end_of_pregnancy","ICD10CM"
"C0019088","Hemorrhagic Disease of Newborn","Q450.","Q450.","end_of_pregnancy","RCD2"
"C0019088","Hemorrhagic Disease of Newborn","Q450.","Q450.","end_of_pregnancy","RCD"
"C0019088","Hemorrhagic Disease of Newborn","Q450.","Q450.","end_of_pregnancy","RCD2"
"C0019088","Hemorrhagic Disease of Newborn","Q450.","Q450.","end_of_pregnancy","RCD"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","44782008","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","235323008","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","123300001","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","156085008","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","236118006","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","367455000","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","123300001,156085008,189856005,235323008,236118006,367455000,44782008,","189856005","interruption_pregnancy","SNOMEDCT_US"
"C0020217","Hydatidiform Mole","630","630","interruption_pregnancy","ICD9CM"
"C0020217","Hydatidiform Mole","L00..,BBR0.,L000.","BBR0.","interruption_pregnancy","RCD2"
"C0020217","Hydatidiform Mole","L00..,BBR0.,L000.","L000.","interruption_pregnancy","RCD2"
"C0020217","Hydatidiform Mole","L00..,BBR0.,L000.","L00..","interruption_pregnancy","RCD2"
"C0020217","Hydatidiform Mole","L000.,BBR0.","L000.","interruption_pregnancy","RCD"
"C0020217","Hydatidiform Mole","L000.,BBR0.","BBR0.","interruption_pregnancy","RCD"
"C0020217","Hydatidiform Mole","O01","O01","interruption_pregnancy","ICD10CM"
"C0020217","Hydatidiform Mole","W73002","W73002","interruption_pregnancy","ICPC2P"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","156188008","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","157052008","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","199648007","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","199650004","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","199645005","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","86203003","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","199644009","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","156188008,157052008,199644009,199645005,199648007,199650004,267261001,86203003","267261001","ongoing_pregnancy","SNOMEDCT_US"
"C0020224","Polyhydramnios","657","657","ongoing_pregnancy","ICD9CM"
"C0020224","Polyhydramnios","L270.,L2700,L270z,L27..","L270z","ongoing_pregnancy","RCD2"
"C0020224","Polyhydramnios","L270.,L2700,L270z,L27..","L270.","ongoing_pregnancy","RCD2"
"C0020224","Polyhydramnios","L270.,L2700,L270z,L27..","L2700","ongoing_pregnancy","RCD2"
"C0020224","Polyhydramnios","L270.,L2700,L270z,L27..","L27..","ongoing_pregnancy","RCD2"
"C0020224","Polyhydramnios","L270.,L2700,L270z,XE0wt","L270.","ongoing_pregnancy","RCD"
"C0020224","Polyhydramnios","L270.,L2700,L270z,XE0wt","L270z","ongoing_pregnancy","RCD"
"C0020224","Polyhydramnios","L270.,L2700,L270z,XE0wt","XE0wt","ongoing_pregnancy","RCD"
"C0020224","Polyhydramnios","L270.,L2700,L270z,XE0wt","L2700","ongoing_pregnancy","RCD"
"C0020224","Polyhydramnios","O40","O40","ongoing_pregnancy","ICD10CM"
"C0020224","Polyhydramnios","W84016","W84016","ongoing_pregnancy","ICPC2P"
"C0020450","Hyperemesis Gravidarum","14094001,156113005,","14094001","ongoing_pregnancy","SNOMEDCT_US"
"C0020450","Hyperemesis Gravidarum","14094001,156113005,","156113005","ongoing_pregnancy","SNOMEDCT_US"
"C0020450","Hyperemesis Gravidarum","643","643","ongoing_pregnancy","ICD9CM"
"C0020450","Hyperemesis Gravidarum","L13..","L13..","ongoing_pregnancy","RCD"
"C0020450","Hyperemesis Gravidarum","L13..","L13..","ongoing_pregnancy","RCD2"
"C0020450","Hyperemesis Gravidarum","L13..","L13..","ongoing_pregnancy","RCD"
"C0020450","Hyperemesis Gravidarum","L13..","L13..","ongoing_pregnancy","RCD2"
"C0020450","Hyperemesis Gravidarum","O21","O21","ongoing_pregnancy","ICD10CM"
"C0020450","Hyperemesis Gravidarum","W05004","W05004","ongoing_pregnancy","ICPC2P"
"C0020451","Mild hyperemesis gravidarum","156114004,199024002,","199024002","ongoing_pregnancy","SNOMEDCT_US"
"C0020451","Mild hyperemesis gravidarum","156114004,199024002,","156114004","ongoing_pregnancy","SNOMEDCT_US"
"C0020451","Mild hyperemesis gravidarum","643","643","ongoing_pregnancy","ICD9CM"
"C0020451","Mild hyperemesis gravidarum","L130.,L130z","L130z","ongoing_pregnancy","RCD2"
"C0020451","Mild hyperemesis gravidarum","L130.,L130z","L130.","ongoing_pregnancy","RCD2"
"C0020451","Mild hyperemesis gravidarum","O21.0","O21.0","ongoing_pregnancy","ICD10CM"
"C0020451","Mild hyperemesis gravidarum","XE2QP,L130z","L130z","ongoing_pregnancy","RCD"
"C0020451","Mild hyperemesis gravidarum","XE2QP,L130z","XE2QP","ongoing_pregnancy","RCD"
"C0021293","Infant, Postmature","147079004,147084005,16207008,","147084005","end_of_pregnancy","SNOMEDCT_US"
"C0021293","Infant, Postmature","147079004,147084005,16207008,","16207008","end_of_pregnancy","SNOMEDCT_US"
"C0021293","Infant, Postmature","147079004,147084005,16207008,","147079004","end_of_pregnancy","SNOMEDCT_US"
"C0021293","Infant, Postmature","6355,","6355","end_of_pregnancy","RCD2"
"C0021293","Infant, Postmature","766.21","766.21","end_of_pregnancy","ICD9CM"
"C0021293","Infant, Postmature","A94018","A94018","end_of_pregnancy","ICPC2P"
"C0021293","Infant, Postmature","Xa0Kb,Xa09e","Xa0Kb","end_of_pregnancy","RCD"
"C0021293","Infant, Postmature","Xa0Kb,Xa09e","Xa09e","end_of_pregnancy","RCD"
