"Condition","Coding system","Code","Code name","Concept","Concept name","Tags","Code_range"
"ADHD","SNOMEDCT_US","389990003","Deficits in attention motor control and perception","C0454625","Deficits in attention motor control and perception",NA,"N/A"
"ADHD","SNOMEDCT_US","392751009","Hyperactive behaviour","C0424295","Hyperactive behavior",NA,"N/A"
"ADHD","SNOMEDCT_US","393706000","Hyperactive behaviour","C0424295","Hyperactive behavior",NA,"N/A"
"ADHD","SNOMEDCT_US","406506008","Attention deficit hyperactivity disorder","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","42584006","ADD - Attention deficit disorder with hyperactivity","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","444613000","Adult attention deficit hyperactivity disorder","C0865424","Adult attention deficit hyperactivity disorder",NA,"N/A"
"ADHD","SNOMEDCT_US","44548000","Hyperactive behavior","C0424295","Hyperactive behavior",NA,"N/A"
"ADHD","SNOMEDCT_US","7461003","Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type","C1263846","Attention deficit hyperactivity disorder",NA,"N/A"
"Autism","ICD10","F84.0","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","ICD10CM","F84.0","Autistic disorder","C0004352","Autistic Disorder",NA,"N/A"
"Autism","ICD9CM","299.0","Autistic disorder","C0004352","Autistic Disorder",NA,"N/A"
"Autism","ICD9CM","299.00","Autistic disorder, current or active state","C0154446","Infantile autism, current or active state",NA,"N/A"
"Autism","ICD9CM","299.01","Autistic disorder, residual state","C0338984","Residual infantile autism",NA,"N/A"
"Autism","MTHICD9","299.0","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","MTHICD9","299.00","Infantile autism, current or active state","C0154446","Infantile autism, current or active state",NA,"N/A"
"Autism","MTHICD9","299.01","Infantile autism, residual state","C0338984","Residual infantile autism",NA,"N/A"
"Autism","RCD2","E140.","Infantile autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","RCD2","E1400","Infantile autism - active","C0338985","Active infantile autism",NA,"N/A"
"Autism","RCD2","E1401","Infantile autism - residual","C0338984","Residual infantile autism",NA,"N/A"
"Autism","RCD2","E140z","Infantile autism NOS","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","154878007","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","191688000","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","191689008","Active infantile autism","C0338985","Active infantile autism",NA,"N/A"
"Autism","SNOMEDCT_US","191690004","Residual infantile autism","C0338984","Residual infantile autism",NA,"N/A"
"Autism","SNOMEDCT_US","191691000","Infantile autism NOS","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","192581001","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","271450003","Childhood autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","34883005","Autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","38763009","Autistic disorder","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","408856003","Autistic disorder","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","408857007","Infantile autism","C0004352","Autistic Disorder",NA,"N/A"
"Autism","SNOMEDCT_US","43614003","Autistic disorder of childhood onset","C0004352","Autistic Disorder",NA,"N/A"
"Breast cancer","ICD10","C50","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","ICD10","C50.0","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.1","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.2","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.3","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.4","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.5","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.6","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.7","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.8","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","C50.9","Breast, unspecified","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","ICD10","C50.9","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"C50-C50.9"
"Breast cancer","ICD10","D05","Carcinoma in situ of breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","ICD10","D05.1","Intraductal carcinoma in situ","C0007124","Noninfiltrating Intraductal Carcinoma",NA,"N/A"
"Breast cancer","ICD10","D05.9","Carcinoma in situ of breast, unspecified","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","ICD10","Z90.1","Acquired absence of breast(s)","C0476702","Acquired absence of breast(s)",NA,"N/A"
"Breast cancer","ICD10CM","C50","Malignant neoplasm of breast","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","ICD10CM","C50","Paget's disease of breast","C0030185","Paget's Disease, Mammary",NA,"N/A"
"Breast cancer","ICD10CM","C50","Malignant neoplasms of breast (C50)","C0006142","Malignant neoplasm of breast",NA,"C50-C50"
"Breast cancer","ICD10CM","C50.11","Malignant neoplasm of central portion of breast, female","C0153549","Malignant neoplasm of central part of female breast",NA,"N/A"
"Breast cancer","ICD10CM","C50.31","Malignant neoplasm of lower-inner quadrant of breast, female","C0153551","Malignant neoplasm of lower-inner quadrant of female breast",NA,"N/A"
"Breast cancer","ICD10CM","C50.41","Malignant neoplasm of upper-outer quadrant of breast, female","C0153552","Malignant neoplasm of upper-outer quadrant of female breast",NA,"N/A"
"Breast cancer","ICD10CM","C50.51","Malignant neoplasm of lower-outer quadrant of breast, female","C0153553","Malignant neoplasm of lower-outer quadrant of female breast",NA,"N/A"
"Breast cancer","ICD10CM","C50.61","Malignant neoplasm of axillary tail of breast, female","C0153554","Malignant neoplasm of axillary tail of female breast",NA,"N/A"
"Breast cancer","ICD10CM","C79.81","Secondary malignant neoplasm of breast","C0346993","Secondary malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","ICD10CM","D05","Carcinoma in situ of breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","ICD10CM","D05.0","Lobular carcinoma in situ of breast","C0279563","Lobular carcinoma in situ of breast",NA,"N/A"
"Breast cancer","ICD10CM","D05.1","Intraductal carcinoma in situ of breast","C0007124","Noninfiltrating Intraductal Carcinoma",NA,"N/A"
"Breast cancer","ICD10CM","D05.9","Unspecified type of carcinoma in situ of breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","ICD10CM","Z90.10","Acquired absence of unspecified breast and nipple","C2911436","Acquired absence of unspecified breast and nipple",NA,"N/A"
"Breast cancer","ICD10CM","Z90.11","Acquired absence of right breast and nipple","C2911437","Acquired absence of right breast and nipple",NA,"N/A"
"Breast cancer","ICD10CM","Z90.12","Acquired absence of left breast and nipple","C2911438","Acquired absence of left breast and nipple",NA,"N/A"
"Breast cancer","ICD10CM","Z90.13","Acquired absence of bilateral breasts and nipples","C2911439","Acquired absence of bilateral breasts and nipples",NA,"N/A"
"Breast cancer","ICD9CM","174","Malignant neoplasm of female breast","C0235653","Malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.0","Malignant neoplasm of nipple and areola of female breast","C0024621","Malignant neoplasm of nipple and areola of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.1","Malignant neoplasm of central portion of female breast","C0153549","Malignant neoplasm of central part of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.2","Malignant neoplasm of upper-inner quadrant of female breast","C0153550","Malignant neoplasm of upper-inner quadrant of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.3","Malignant neoplasm of lower-inner quadrant of female breast","C0153551","Malignant neoplasm of lower-inner quadrant of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.4","Malignant neoplasm of upper-outer quadrant of female breast","C0153552","Malignant neoplasm of upper-outer quadrant of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.5","Malignant neoplasm of lower-outer quadrant of female breast","C0153553","Malignant neoplasm of lower-outer quadrant of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.6","Malignant neoplasm of axillary tail of female breast","C0153554","Malignant neoplasm of axillary tail of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.8","Malignant neoplasm of other specified sites of female breast","C0153555","Malignant neoplasm of other specified sites of female breast",NA,"N/A"
"Breast cancer","ICD9CM","174.9","Malignant neoplasm of breast (female), unspecified","C0235653","Malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","ICD9CM","198.81","Secondary malignant neoplasm of breast","C0346993","Secondary malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","ICD9CM","233.0","Carcinoma in situ of breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","ICD9CM","40.22","Excision of internal mammary lymph node","C0193871","Excision of internal mammary lymph nodes",NA,"N/A"
"Breast cancer","ICD9CM","85.2","Excision or destruction of breast tissue","C0376083","Excision or destruction of breast tissue, not otherwise specified",NA,"N/A"
"Breast cancer","ICD9CM","85.20","Excision or destruction of breast tissue, not otherwise specified","C0376083","Excision or destruction of breast tissue, not otherwise specified",NA,"N/A"
"Breast cancer","ICD9CM","85.22","Resection of quadrant of breast","C0337354","Quadrantectomy of breast",NA,"N/A"
"Breast cancer","ICD9CM","85.23","Subtotal mastectomy","C0024885","Segmental Mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.25","Excision of nipple","C0191864","Excision of nipple",NA,"N/A"
"Breast cancer","ICD9CM","85.33","Unilateral subcutaneous mammectomy with synchronous implant","C0191895","Unilateral subcutaneous mammectomy with synchronous implant",NA,"N/A"
"Breast cancer","ICD9CM","85.34","Other unilateral subcutaneous mammectomy","C0029863","Other unilateral subcutaneous mammectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.35","Bilateral subcutaneous mammectomy with synchronous implant","C0191896","Bilateral subcutaneous mammectomy with synchronous implant",NA,"N/A"
"Breast cancer","ICD9CM","85.36","Other bilateral subcutaneous mammectomy","C0177672","Other bilateral subcutaneous mammectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.41","Unilateral simple mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.42","Bilateral simple mastectomy","C0191879","Bilateral simple mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.43","Unilateral extended simple mastectomy","C0191880","Unilateral extended simple mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.44","Bilateral extended simple mastectomy","C0191881","Bilateral mastectomy extended simple",NA,"N/A"
"Breast cancer","ICD9CM","85.45","Unilateral radical mastectomy","C0041690","Unilateral radical mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.46","Bilateral radical mastectomy","C0191883","Bilateral radical mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.47","Unilateral extended radical mastectomy","C0041685","Unilateral extended radical mastectomy",NA,"N/A"
"Breast cancer","ICD9CM","85.48","Bilateral extended radical mastectomy","C3495405","Bilateral extended radical mastectomy",NA,"N/A"
"Breast cancer","ICPC","X76","Malignant neoplasm breast","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","RCD2","7130.","Total mastectomy operations","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","RCD2","71300","Mastec inc pectorals & ch wall","C0024882","Extended radical mastectomy",NA,"N/A"
"Breast cancer","RCD2","71302","Mastectomy & excis pect minor","C0024883","Modified radical mastectomy",NA,"N/A"
"Breast cancer","RCD2","71304","Subcutaneous mastectomy","C0024887","Mastectomy, Subcutaneous",NA,"N/A"
"Breast cancer","RCD2","71305","Radical mastec inc axill lymph","C0024884","Mastectomy, Radical",NA,"N/A"
"Breast cancer","RCD2","71306","Simple mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","RCD2","71308","Bilateral mastectomy","C0191877","Bilateral mastectomy",NA,"N/A"
"Breast cancer","RCD2","71309","Modified radical mastectomy","C0024883","Modified radical mastectomy",NA,"N/A"
"Breast cancer","RCD2","7130z","Total mastectomy NOS","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","RCD2","71310","Quadrantectomy of breast","C0337354","Quadrantectomy of breast",NA,"N/A"
"Breast cancer","RCD2","71311","Partial mastectomy NEC","C0024885","Segmental Mastectomy",NA,"N/A"
"Breast cancer","RCD2","71312","Excision of lesion of breast","C0851238","Lumpectomy of breast",NA,"N/A"
"Breast cancer","RCD2","71361","Excision of nipple","C0191864","Excision of nipple",NA,"N/A"
"Breast cancer","RCD2","B34..","Malig neop female breast (f)","C0235653","Malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","RCD2","B340.","Malig neop nipple/areola (f)","C0024621","Malignant neoplasm of nipple and areola of female breast",NA,"N/A"
"Breast cancer","RCD2","B340z","Malig neop nippl/areol (f) NOS","C0024621","Malignant neoplasm of nipple and areola of female breast",NA,"N/A"
"Breast cancer","RCD2","B341.","Malig neop cent part breast(f)","C0153549","Malignant neoplasm of central part of female breast",NA,"N/A"
"Breast cancer","RCD2","B342.","Malig neop upp-inner quad (f)","C0153550","Malignant neoplasm of upper-inner quadrant of female breast",NA,"N/A"
"Breast cancer","RCD2","B343.","Malig neop low-inner quad (f)","C0153551","Malignant neoplasm of lower-inner quadrant of female breast",NA,"N/A"
"Breast cancer","RCD2","B344.","Malig neop upp-outer quad (f)","C0153552","Malignant neoplasm of upper-outer quadrant of female breast",NA,"N/A"
"Breast cancer","RCD2","B345.","Malig neop low-outer quad (f)","C0153553","Malignant neoplasm of lower-outer quadrant of female breast",NA,"N/A"
"Breast cancer","RCD2","B346.","Malig neop axillary tail (f)","C0153554","Malignant neoplasm of axillary tail of female breast",NA,"N/A"
"Breast cancer","RCD2","B34z.","Malig neop female breast NOS","C0235653","Malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","RCD2","B58y0","2-malig neop breast","C0346993","Secondary malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","RCD2","B830.","Ca-in-situ breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","RCD2","B8300","Lobular carc in situ of breast","C0279563","Lobular carcinoma in situ of breast",NA,"N/A"
"Breast cancer","RCD2","B8301","Intraduct carc in situ breast","C0007124","Noninfiltrating Intraductal Carcinoma",NA,"N/A"
"Breast cancer","RCD2","BB90.","[M]Intraduct.ca,noninfiltr.NOS","C0007124","Noninfiltrating Intraductal Carcinoma",NA,"N/A"
"Breast cancer","RCD2","BB9G.","[M]Infiltrating ductular ca.","C1134719","Invasive Ductal Breast Carcinoma",NA,"N/A"
"Breast cancer","RCD2","BB9J.","[M]Paget's disease, mammary","C0030185","Paget's Disease, Mammary",NA,"N/A"
"Breast cancer","RCD2","Byu6.","[X]Malignant neoplasm/breast","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","RCD2","ZV6G1","[V]Acquired absence/breast(s)","C0476702","Acquired absence of breast(s)",NA,"N/A"
"Breast cancer","SNOMEDCT_US","109888004","Lobular carcinoma in situ of breast","C0279563","Lobular carcinoma in situ of breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","109889007","Intraductal carcinoma in situ of breast","C0007124","Noninfiltrating Intraductal Carcinoma",NA,"N/A"
"Breast cancer","SNOMEDCT_US","116221009","Total mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150298000","Total mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150299008","Lumpectomy of breast","C0851238","Lumpectomy of breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150300000","Excision of part of breast","C0024885","Segmental Mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150301001","Simple mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150302008","Extended simple mastectomy","C0565220","Extended simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150303003","Radical mastectomy","C0024884","Mastectomy, Radical",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150304009","Extended radical mastectomy","C0024882","Extended radical mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150306006","Subcutaneous mastectomy","C0024887","Mastectomy, Subcutaneous",NA,"N/A"
"Breast cancer","SNOMEDCT_US","150323002","Excision of nipple","C0191864","Excision of nipple",NA,"N/A"
"Breast cancer","SNOMEDCT_US","154521006","Ca breast - NOS","C0006142","Malignant neoplasm of breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","154636004","Carcinoma in situ of breast","C0154084","Stage 0 Breast Carcinoma",NA,"N/A"
"Breast cancer","SNOMEDCT_US","17056008","Excision of internal mammary lymph nodes","C0193871","Excision of internal mammary lymph nodes",NA,"N/A"
"Breast cancer","SNOMEDCT_US","172039007","Extended radical mastectomy","C0024882","Extended radical mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","172043006","Simple mastectomy","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","172045004","Bilateral mastectomy","C0191877","Bilateral mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","172047007","Total mastectomy NOS","C0024886","Simple mastectomy",NA,"N/A"
"Breast cancer","SNOMEDCT_US","172049005","Quadrantectomy of breast","C0337354","Quadrantectomy of breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188146000","Malignant neoplasm of female breast","C0235653","Malignant neoplasm of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188147009","Malignant neoplasm of nipple and areola of female breast","C0024621","Malignant neoplasm of nipple and areola of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188150007","Malignant neoplasm of nipple or areola of female breast NOS","C0024621","Malignant neoplasm of nipple and areola of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188151006","Malignant neoplasm of central part of female breast","C0153549","Malignant neoplasm of central part of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188152004","Malignant neoplasm of upper-inner quadrant of female breast","C0153550","Malignant neoplasm of upper-inner quadrant of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188153009","Malignant neoplasm of lower-inner quadrant of female breast","C0153551","Malignant neoplasm of lower-inner quadrant of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188154003","Malignant neoplasm of upper-outer quadrant of female breast","C0153552","Malignant neoplasm of upper-outer quadrant of female breast",NA,"N/A"
"Breast cancer","SNOMEDCT_US","188155002","Malignant neoplasm of lower-outer quadrant of female breast","C0153553","Malignant neoplasm of lower-outer quadrant of female breast",NA,"N/A"
