"event_definition","Coding_system","Codes"
"Transformed migraine","SNOMEDCT_US","427419006"
"Retinal migraine","SCTSPA","79267007"
"Refractory migraine with aura","SCTSPA","423683008"
"Migraine with Aura","SCTSPA","4473006"
"Migraine with Typical Aura","SCTSPA","230462002, 4473006"
"Migraine with Prolonged Aura","SCTSPA","193039006, 230463007"
"Migraine Disorders","SCTSPA","193041007, 37796009"
"Common Migraine","SCTSPA","193029000, 56097005"
"Other forms of migraine","SCTSPA","193037008, 193040008, 194493009"
"Hemiplegic migraine","SCTSPA","59292006"
"Basilar-Type Migraine","SCTSPA","83351003"
"Lower half migraine","SCTSPA","26150009"
"Menstrual migraine","SCTSPA","23186000"
"Migraine Variant","SCTSPA","193030005, 193036004"
"Ophthalmic migraine","SCTSPA","95655001"
"Ophthalmoplegic Migraine","SCTSPA","49605003"
"Status Migrainosus","SCTSPA","230467008"
"Transformed migraine","SCTSPA","427419006"
"Retinal migraine","MTHICD9","346.0"
"Migraine with Aura","MTHICD9","346.0"
"Migraine with Typical Aura","MTHICD9","346.0"
"Migraine with Prolonged Aura","MTHICD9","346.0"
"Common Migraine","MTHICD9","346.1"
"Basilar-Type Migraine","MTHICD9","346.0"
"Lower half migraine","MTHICD9","339.00"
"Ophthalmoplegic Migraine","MTHICD9","346.2"
"Persistent migraine aura without cerebral infarction","MTHICD9","346.5"
"Migraine Disorders","ICPC","N89"
