"event_definition","Coding_system","Codes"
"Tinnitus, Subjective","SNOMEDCT_US","62452009"
"Tinnitus, Objective","SNOMEDCT_US","28715001"
"Neural hearing loss","SNOMEDCT_US","155256000, 267770004, 73371001, 80695003"
"Ototoxicity","SNOMEDCT_US","9062008"
"Hearing problem","SNOMEDCT_US","128540005, 300228004, 362966006, 362989003"
"Paradoxic hearing loss","SNOMEDCT_US","42853003"
"End organ deafness","SNOMEDCT_US","56943007"
"Sensorineural hearing loss of combined sites","SNOMEDCT_US","65680009"
"Toxic deafness","SNOMEDCT_US","37635004"
"Low frequency deafness","SNOMEDCT_US","194421002, 232327000, 42538001"
"Combined perceptive hearing loss","SNOMEDCT_US","194426007"
"Hearing loss associated with syndrome","SNOMEDCT_US","232333009"
"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness","SNOMEDCT_US","236532003"
"O/E - High tone deafness","SNOMEDCT_US","141268007, 164070002"
"Acoustic analysis deficit","SNOMEDCT_US","229668005"
"Other specified hearing loss","SNOMEDCT_US","194431009, 194699002"
"Drug ototoxicity - deafness","SNOMEDCT_US","194423004, 267677007, 275482009"
"Complete Hearing Loss","SNOMEDCT_US","8531006"
"hearing impairment","SNOMEDCT_US","103276001, 111543003, 15188001, 155242002, 155254002, 194411005, 267764005"
"Sensory hearing loss","SNOMEDCT_US","85571008"
"Unilateral sensory hearing loss","SNOMEDCT_US","425980006"
"Asymmetrical hearing loss","SNOMEDCT_US","427772009"
"Unilateral deafness","SNOMEDCT_US","162342008"
