"event_definition","Coding_system","Codes"
"Recurrent depressive disorder, current episode mild","SNOMEDCT_US","192375008"
"Depressive disorder","SNOMEDCT_US","192372006, 21061000119107, 35489007, 78667006, 192372006, 21061000119107, 35489007, 78667006"
"Suicide attempt","SNOMEDCT_US","158062004, 158073006, 219106009, 222000000, 287187001, 82313006"
"Depressed mood","SNOMEDCT_US","102895009, 139480000, 162196004, 267171009, 35489007, 366979004, 367204005, 41006004, 66446005"
"Depressive episode, unspecified","SNOMEDCT_US","192372006, 268706007, 192372006, 268706007"
"Feeling suicidal (finding)","SNOMEDCT_US","139586008, 225457007, 271950009, 6471006"
"Loss of interest","SNOMEDCT_US","247753000, 366968009, 367192008"
"Recurrent major depressive episodes","SNOMEDCT_US","191608002, 191609005, 191617002, 268621008, 66344007"
"Single major depressive episode","SNOMEDCT_US","191599006, 191600009, 191607007, 192366006, 268620009, 36923009"
"Recurrent depression","SNOMEDCT_US","154970001, 191616006"
"Mood Disorders","SNOMEDCT_US","192348001, 192391006, 268713007, 46206005, 74421008"
"Mental Depression","SNOMEDCT_US","154963001, 307537002"
"Persistent mood affective disorder, unspecified","SNOMEDCT_US","192382007, 192386005"
"Dysthymic Disorder","SNOMEDCT_US","192384008, 78667006"
"Mixed anxiety and depressive disorder","SNOMEDCT_US","154964007, 191707004, 192402009, 231504006"
"Affective Disorders, Psychotic","SNOMEDCT_US","154871001, 191580002, 191663008, 268749008, 441704009"
"Severe recurrent major depression without psychotic features","SNOMEDCT_US","192377000, 268708008, 36474008"
"Moderate recurrent major depression","SNOMEDCT_US","18818009, 192376009"
"Mild major depression, single episode","SNOMEDCT_US","191601008, 79298009"
"Moderate major depression, single episode","SNOMEDCT_US","15639000, 191602001"
"Depression, Postpartum","SNOMEDCT_US","147016002, 154889000, 191740008, 192475007, 268753005, 58703003"
"Severe recurrent major depression with psychotic features","SNOMEDCT_US","192378005, 268709000, 28475009"
"Recurrent depressive disorder","SNOMEDCT_US","192374007, 192381000, 268707003, 268710005"
"Psychosis depressive","SNOMEDCT_US","191580002"
"Severe major depression, single episode, without psychotic features","SNOMEDCT_US","76441001"
"Severe major depression, single episode, with psychotic features","SNOMEDCT_US","430852001"
"Recurrent major depressive episodes, in partial or unspecified remission","SNOMEDCT_US","191614009"
"Melancholia","SNOMEDCT_US","35489007"
"Atypical depressive disorder","SNOMEDCT_US","191659001, 192371004, 277538003"
"Recurrent major depressive episodes, mild","SNOMEDCT_US","191610000"
"Reactive depression","SNOMEDCT_US","154889000, 191740008, 192372006, 268753005, 87414006"
"Other depressive episodes","SNOMEDCT_US","192371004, 268705006"
"Severe depressive episode with psychotic symptoms","SNOMEDCT_US","192370003, 268704005"
"Depression, Neurotic","SNOMEDCT_US","78667006"
"Recurrent major depression in remission","SNOMEDCT_US","192379002, 68019004"
"Endogenous depression","SNOMEDCT_US","154873003, 191599006, 231498003, 300706003"
"Depressive personality disorder","SNOMEDCT_US","268756002"
"Severe depressive episode without psychotic symptoms","SNOMEDCT_US","192369004, 268702009"
"Moderate depressive episode","SNOMEDCT_US","192368007"
"Depression, Reactive, Psychotic","SNOMEDCT_US","191676002"
"Mild depressive episode","SNOMEDCT_US","192367002"
"Chronic depressive personality disorder","SNOMEDCT_US","442057004"
"Drug-induced depressive state","SNOMEDCT_US","191495003"
"Premenstrual Dysphoric Disorder","SNOMEDCT_US","596004"
"Post-schizophrenic depression","SNOMEDCT_US","192323004, 231485007"
"Schizoaffective disorder, depressive type","SNOMEDCT_US","192342000, 231492002, 84760002"
"Manic-depressive psychosis, depressed type without psychotic symptoms","SNOMEDCT_US","192377000, 310462009"
"Masked depression","SNOMEDCT_US","191665001, 231500002"
"Severe depression","SNOMEDCT_US","154967000, 310497006"
"depression; endogenous, with psychotic symptoms","SNOMEDCT_US","192378005"
"Agitated depression","SNOMEDCT_US","154872008, 191599006, 191681006, 268750008, 83458005"
"Depressive disorder NEC in SNOMEDCT","SNOMEDCT_US","192078003"
"Recurrent major depression in partial remission","SNOMEDCT_US","33135002"
"Seasonal Affective Disorder","SNOMEDCT_US","154876006, 154969002, 191655007, 192374007, 247803002"
"Single episode agitated depression without psychotic symptoms","SNOMEDCT_US","192369004, 310465006"
"Single episode major depression without psychotic symptoms","SNOMEDCT_US","192369004, 310466007"
"Major Depressive Disorder","SNOMEDCT_US","35489007, 370143000, 35489007, 370143000"
"Depression, Bipolar","SNOMEDCT_US","191627008"
"Mild depression","SNOMEDCT_US","154965008, 310495003, 390717003"
"Moderate depression","SNOMEDCT_US","154919005, 154966009, 310496002"
"O/E - depressed","SNOMEDCT_US","139947002, 162722001"
"Postoperative depression","SNOMEDCT_US","206773000, 82218004"
"Chronic depression","SNOMEDCT_US","192080009"
"Postviral depression","SNOMEDCT_US","192079006"
"Depressive conduct disorder","SNOMEDCT_US","192605002, 231542000"
"Low self-esteem","SNOMEDCT_US","139497006, 286647002"
"Other recurrent depressive disorders","SCTSPA","192380004"
"Recurrent depressive disorder, current episode mild","SCTSPA","192375008"
"Depressive disorder","SCTSPA","21061000119107, 35489007, 78667006, 21061000119107, 35489007, 78667006"
"Suicide attempt","SCTSPA","158073006, 287187001, 82313006"
"Depressed mood","SCTSPA","102895009, 366979004, 41006004, 66446005"
"Depressive episode, unspecified","SCTSPA","268706007, 268706007"
"Feeling suicidal (finding)","SCTSPA","225457007, 6471006"
"Loss of interest","SCTSPA","247753000, 713566001"
"Recurrent major depressive episodes","SCTSPA","191609005, 191617002, 268621008, 66344007"
"Single major depressive episode","SCTSPA","191600009, 191607007, 268620009, 36923009"
"Recurrent depression","SCTSPA","191616006"
"Mood Disorders","SCTSPA","268713007, 46206005"
"Mental Depression","SCTSPA","154963001, 307537002"
"Persistent mood affective disorder, unspecified","SCTSPA","192382007, 192386005"
"Dysthymic Disorder","SCTSPA","78667006"
"Mixed anxiety and depressive disorder","SCTSPA","231504006"
"Affective Disorders, Psychotic","SCTSPA","191663008, 441704009"
"Severe recurrent major depression without psychotic features","SCTSPA","268708008, 36474008"
"Moderate recurrent major depression","SCTSPA","18818009, 192376009"
"Mild major depression, single episode","SCTSPA","191601008, 79298009"
"Moderate major depression, single episode","SCTSPA","15639000, 191602001"
"Depression, Postpartum","SCTSPA","58703003"
"Severe recurrent major depression with psychotic features","SCTSPA","268709000, 28475009"
"Recurrent depressive disorder","SCTSPA","268707003, 268710005"
"Severe major depression, single episode, without psychotic features","SCTSPA","76441001"
"Severe major depression, single episode, with psychotic features","SCTSPA","430852001"
"Recurrent major depressive episodes, in partial or unspecified remission","SCTSPA","191614009"
"Melancholia","SCTSPA","35489007"
"Atypical depressive disorder","SCTSPA","191659001"
"Recurrent major depressive episodes, mild","SCTSPA","191610000"
"Reactive depression","SCTSPA","87414006"
"Other depressive episodes","SCTSPA","268705006"
"Severe depressive episode with psychotic symptoms","SCTSPA","268704005"
"Depression, Neurotic","SCTSPA","78667006"
"Recurrent major depression in remission","SCTSPA","192379002, 68019004"
"Endogenous depression","SCTSPA","300706003"
"Severe depressive episode without psychotic symptoms","SCTSPA","268702009"
"Moderate depressive episode","SCTSPA","192368007"
"Depression, Reactive, Psychotic","SCTSPA","191676002"
"Mild depressive episode","SCTSPA","192367002"
"Chronic depressive personality disorder","SCTSPA","442057004"
"Drug-induced depressive state","SCTSPA","191495003"
"Premenstrual Dysphoric Disorder","SCTSPA","596004"
"Post-schizophrenic depression","SCTSPA","231485007"
"Schizoaffective disorder, depressive type","SCTSPA","84760002"
"Manic-depressive psychosis, depressed type without psychotic symptoms","SCTSPA","310462009"
"Masked depression","SCTSPA","231500002"
"Severe depression","SCTSPA","310497006"
"Agitated depression","SCTSPA","83458005"
"Depressive disorder NEC in SNOMEDCT","SCTSPA","192078003"
"Recurrent major depression in partial remission","SCTSPA","33135002"
"Seasonal Affective Disorder","SCTSPA","247803002"
"Single episode agitated depression without psychotic symptoms","SCTSPA","310465006"
"Single episode major depression without psychotic symptoms","SCTSPA","310466007"
"Major Depressive Disorder","SCTSPA","35489007, 370143000, 35489007, 370143000"
"Depression, Bipolar","SCTSPA","191627008"
"Mild depression","SCTSPA","310495003"
"Moderate depression","SCTSPA","310496002"
"O/E - depressed","SCTSPA","162722001"
"Postoperative depression","SCTSPA","82218004"
"Chronic depression","SCTSPA","192080009"
"Postviral depression","SCTSPA","192079006"
"Depressive conduct disorder","SCTSPA","231542000"
"Low self-esteem","SCTSPA","286647002"
"Depressive disorder","ICPC","P76, P76"
"Suicide attempt","ICPC","P77"
"Affective Disorders, Psychotic","ICPC","P73"
"Depressive disorder","MTHICD9","311, 311"
"Recurrent major depressive episodes","MTHICD9","296.30"
"Single major depressive episode","MTHICD9","296.20"
"Mood Disorders","MTHICD9","296.90"
"Mental Depression","MTHICD9","311"
"Mixed anxiety and depressive disorder","MTHICD9","300.4"
"Affective Disorders, Psychotic","MTHICD9","296.90"
"Severe recurrent major depression without psychotic features","MTHICD9","296.33"
"Moderate recurrent major depression","MTHICD9","296.32"
"Mild major depression, single episode","MTHICD9","296.21"
"Moderate major depression, single episode","MTHICD9","296.22"
"Severe recurrent major depression with psychotic features","MTHICD9","296.34"
"Severe major depression, single episode, without psychotic features","MTHICD9","296.23"
"Severe major depression, single episode, with psychotic features","MTHICD9","296.24"
"Recurrent major depressive episodes, in partial or unspecified remission","MTHICD9","296.35"
"Melancholia","MTHICD9","296.90"
"Recurrent major depressive episodes, mild","MTHICD9","296.31"
"Reactive depression","MTHICD9","300.4"
"Depression, Neurotic","MTHICD9","300.4"
"Depression, Reactive, Psychotic","MTHICD9","298.0"
"Chronic depressive personality disorder","MTHICD9","301.12"
"Drug-induced depressive state","MTHICD9","292.84"
"Premenstrual Dysphoric Disorder","MTHICD9","625.4"
