"event_definition","Coding_system","Codes"
"Vasculitis","RCD","G76B."
"Vasculitis, Leukocytoclastic, Cutaneous","RCD","G752z, XE0VV"
"polyarteritis nodosa; related condition","RCD","G75.., G75z."
"Portal Vein Thrombosis","RCD","G81.."
"Anti-Glomerular Basement Membrane Disease","RCD","G7520, X30Kz"
"Thrombotic Microangiopathies","RCD","G756., G756z"
"Arteritis","SNOMEDCT_US","195368003, 266265002, 266325003, 52089001"
"Behcet Syndrome","SNOMEDCT_US","154424000, 310701003, 41225007"
"Granuloma, Lethal Midline","SNOMEDCT_US","58961005"
"Mucocutaneous Lymph Node Syndrome","SNOMEDCT_US","155444003, 195348009, 195349001, 75053002"
"Polyarteritis Nodosa","SNOMEDCT_US","155441006, 155445002, 195347004, 266323005, 286960005, 66121003"
"Henoch-Schoenlein Purpura","SNOMEDCT_US","154823001, 191305009, 191306005, 191308006, 21148002, 246074004, 267565009, 31912009, 367437009"
"Takayasu Arteritis","SNOMEDCT_US","155445002, 195361009, 266323005, 359789008, 42153001"
"Giant Cell Arteritis","SNOMEDCT_US","155442004, 195354005, 195355006, 195356007, 195357003, 400130008, 414341000, 87511001"
"Thromboangiitis Obliterans","SNOMEDCT_US","155432001, 195298008, 195299000, 195300008, 52403007"
"Thrombosis","SNOMEDCT_US","118927008, 264579008, 439127006, 70281000"
"Vasculitis","SNOMEDCT_US","195375002, 266325003, 31996006, 393589007"
"Vasculitis, Leukocytoclastic, Cutaneous","SNOMEDCT_US","195350001, 195352009, 60555002, 718217000"
"polyarteritis nodosa; related condition","SNOMEDCT_US","155440007, 195346008, 195365000"
"Portal Vein Thrombosis","SNOMEDCT_US","155455003, 17920008"
"Anti-Glomerular Basement Membrane Disease","SNOMEDCT_US","155445002, 195351002, 236506009, 266323005, 50581000, 788613004"
"Thrombotic Microangiopathies","SNOMEDCT_US","126729006, 195360005, 78129009"
"Arteritis","SCTSPA","266265002, 52089001"
"Behcet Syndrome","SCTSPA","310701003, 41225007"
"Granuloma, Lethal Midline","SCTSPA","58961005"
"Mucocutaneous Lymph Node Syndrome","SCTSPA","195349001, 75053002"
"Polyarteritis Nodosa","SCTSPA","155441006, 286960005, 66121003"
"Henoch-Schoenlein Purpura","SCTSPA","191306005, 191308006, 21148002, 246074004, 267565009, 31912009, 367437009"
"Takayasu Arteritis","SCTSPA","359789008, 42153001"
"Giant Cell Arteritis","SCTSPA","195357003, 414341000, 87511001"
"Thromboangiitis Obliterans","SCTSPA","195299000, 195300008, 52403007"
"Thrombosis","SCTSPA","118927008, 264579008, 439127006, 70281000"
"Vasculitis","SCTSPA","31996006"
"Vasculitis, Leukocytoclastic, Cutaneous","SCTSPA","195352009, 60555002, 718217000"
"polyarteritis nodosa; related condition","SCTSPA","155440007, 195346008, 195365000"
"Portal Vein Thrombosis","SCTSPA","17920008"
"Anti-Glomerular Basement Membrane Disease","SCTSPA","236506009, 50581000"
"Thrombotic Microangiopathies","SCTSPA","126729006, 195360005"
