"event_definition","Coding_system","Codes"
"Chronic familial neutropenia (disorder)","SCTSPA","234576008, 53917000"
"Agranulocytosis","SNOMEDCT_US","142919000, 154830007, 165508008, 17182001, 191336001, 191350006"
"Neutropenia","SNOMEDCT_US","142928004, 191336001, 303011007, 72885007"
"Thrombocytopenia","SNOMEDCT_US","142969008, 154827000, 165556002, 191326009, 302215000, 415116008, 70786006"
"Cyclic neutropenia","SNOMEDCT_US","191347008, 234575007, 69295006"
"Agranulocytic angina","SNOMEDCT_US","72050006"
"Neutropenia with dysgranulopoiesis","SNOMEDCT_US","41814009"
"Familial neutropenia","SNOMEDCT_US","247860002, 53917000"
"Myelokathexis","SNOMEDCT_US","24974008"
"Lazy Leukocyte Syndrome","SNOMEDCT_US","234432004, 71436005"
"Immune neutropenia","SNOMEDCT_US","65623009"
"Neutropenia associated with autoimmune disease","SNOMEDCT_US","111585004"
"Drug-induced neutropenia","SNOMEDCT_US","191339008, 191344001, 47318007"
"Neutropenia associated with infectious disease","SNOMEDCT_US","191341009, 46359005"
"Toxic neutropenia","SNOMEDCT_US","32092008"
"Granulocyte granule deficiency","SNOMEDCT_US","289317009, 60550007"
"Eosinopenia","SNOMEDCT_US","142934006, 165523003, 43355006"
"Doan-Wright syndrome","SNOMEDCT_US","38970002"
"Agranulocytosis associated with AIDS","SNOMEDCT_US","421312009, 906000"
"Congenital neutropenia","SNOMEDCT_US","191342002, 267541006, 89655007"
"Autoimmune neutropenia","SNOMEDCT_US","234425008"
"Acquired neutropenia in newborn","SNOMEDCT_US","191345000"
"Neutropenia due to irradiation","SNOMEDCT_US","191340005, 267540007"
"Primary splenic neutropenia","SNOMEDCT_US","191338000, 58639003"
"Chronic benign granulocytopenia","SNOMEDCT_US","234418001"
"Disorder of phagocytic cell number","SNOMEDCT_US","234574006"
"Mucositis necroticans agranulocytica","SNOMEDCT_US","95362003"
"Chronic idiopathic immunoneutropenia in adults","SNOMEDCT_US","129642004"
"Benign granulocytopenia in childhood","SNOMEDCT_US","129640007"
"Chronic hypoplastic neutropenia","SNOMEDCT_US","129643009"
"Chronic benign neutropenia","SNOMEDCT_US","234423001, 53917000"
"Agranulocytopenic disorder","SNOMEDCT_US","267538002"
"Chronic benign neutropenia of childhood","SNOMEDCT_US","129641006"
"Granulocytosis","SNOMEDCT_US","317226009, 78341006"
"Severe congenital neutropenia","SNOMEDCT_US","191336001, 770942003, 89655007"
"Chronic idiopathic neutropenia","SNOMEDCT_US","191337005, 234419009, 234576008, 248693006, 267539005, 53917000"
"Chronic familial neutropenia (disorder)","SNOMEDCT_US","234576008, 53917000"
