medicinal_product_id,medicinal_product_name,medicinal_product_atc_code,unit_of_presentation_type,unit_of_presentation_num,administration_dose_form,administration_route,subst1_atc_code,subst2_atc_code,subst3_atc_code,subst1_amount_per_form,subst2_amount_per_form,subst3_amount_per_form,subst1_amount_unit,subst2_amount_unit,subst3_amount_unit,subst1_concentration,subst2_concentration,subst3_concentration,subst1_concentration_unit,subst2_concentration_unit,subst3_concentration_unit,concentration_total_content,concentration_total_content_unit,medicinal_product_manufacturer
257200,name70,G21JI10,,,,,E10CE83,,,,,,,,,1,,,mg/ml,,,200,ml,
154100,name71,B86AL61,,,,,F07LC27,,,,,,,,,2,,,UI/ml,,,,,
301900,name72,E87BK76,,,,,D47IJ66,,,,,,,,,2,,,UI/ml,,,,,
285800,name73,A39HK99,,,,,O19LL06,,,,,,,,,2,,,UI/ml,,,,,
164800,name74,N98IJ43,,,,,K48KN34,,,,,,,,,2,,,UI/ml,,,,,
181800,name75,N21IO15,,,,,E40AE31,,,,,,,,,2,,,UI/ml,,,,,
198200,name76,O51FL49,,,,,K18KL72,,,,,,,,,2,,,UI/ml,,,,,
295200,name77,F35HJ94,,,,,J41GK86,,,,,,,,,2,,,UI/ml,,,,,
112600,name78,D07IC32,,,,,L63DI43,,,,,,,,,2,,,UI/ml,,,,,
207100,name79,N79HB66,,,,,O80NM20,,,,,,,,,2,,,UI/ml,,,,,
252200,name80,C12KL75,,,,,H05NE17,,,,,,,,,2,,,UI/ml,,,,,
140800,name81,D00JN79,,,,,J36JC14,,,,,,,,,2,,,UI/ml,,,,,
277100,name82,M21JB88,,,,,M93NM10,,,,,,,,,2,,,UI/ml,,,,,
180900,name83,G94BK67,,,,,G98OB57,,,,,,,,,2,,,UI/ml,,,,,
247600,name84,O60DL02,,,,,D95GO04,,,,,,,,,2,,,UI/ml,,,,,
215200,name85,D51AM77,,,,,G22NF87,,,,,,,,,2,,,UI/ml,,,,,
274700,name86,J43DF24,,,,,O61GH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
172100,name87,H64KK99,,,,,B55LO69,,,,,,,,,2,,,UI/ml,,,,,
196300,name88,O53MM38,,,,,E49DB25,,,,,,,,,2,,,UI/ml,,,,,
388700,name89,K47LH96,,,,,I77EF20,,,,,,,,,2,,,UI/ml,,,,,
144200,name90,H80BI68,,,,,E31MD13,,,,,,,,,2,,,UI/ml,,,,,
146200,name91,E85LJ93,,,,,O04DI48,,,,,,,,,2,,,UI/ml,,,,,
251000,name92,J76IJ39,,,,,K50CK12,,,,,,,,,2,,,UI/ml,,,,,
297200,name93,J57KK05,,,,,H25ED63,,,,,,,,,2,,,UI/ml,,,,,
313400,name94,A49LJ15,,,,,J76OL50,,,,,,,,,2,,,UI/ml,,,,,
398900,name95,G72NL26,,,,,C91IB76,,,,,,,,,2,,,UI/ml,,,,,
341300,name96,H46KA05,,,,,I56BJ01,,,,,,,,,2,,,UI/ml,,,,,
368600,name97,O46JL43,,,,,G99LA62,,,,,,,,,2,,,UI/ml,,,,,
342400,name98,H86NJ71,,,,,O92AI38,,,,,,,,,2,,,UI/ml,,,,,
383000,name99,N97AJ62,,,,,O99FA86,,,,,,,,,2,,,UI/ml,,,,,
216000,name100,E96LO98,,,,,I41DH14,,,,,,,,,2,,,UI/ml,,,,,
216001,name101,E96LO99,,,,,I41DH15,,,,,,,,,3,,,UI/ml,,,,,
216002,name102,E96LO100,,,,,I41DH16,,,,,,,,,4,,,UI/ml,,,,,
216003,name103,E96LO101,,,,,I41DH17,,,,,,,,,5,,,UI/ml,,,,,
216004,name104,E96LO102,,,,,I41DH18,,,,,,,,,6,,,UI/ml,,,,,
216005,name105,E96LO103,,,,,I41DH19,,,,,,,,,7,,,UI/ml,,,,,
216006,name106,E96LO104,,,,,I41DH20,,,,,,,,,8,,,UI/ml,,,,,
216007,name107,E96LO105,,,,,I41DH21,,,,,,,,,9,,,UI/ml,,,,,
216008,name108,E96LO106,,,,,I41DH22,,,,,,,,,10,,,UI/ml,,,,,
216009,name109,E96LO107,,,,,I41DH23,,,,,,,,,11,,,UI/ml,,,,,
216010,name110,E96LO108,,,,,I41DH24,,,,,,,,,12,,,UI/ml,,,,,
216011,name111,E96LO109,,,,,I41DH25,,,,,,,,,13,,,UI/ml,,,,,
216012,name112,E96LO110,,,,,I41DH26,,,,,,,,,14,,,UI/ml,,,,,
216013,name113,E96LO111,,,,,I41DH27,,,,,,,,,15,,,UI/ml,,,,,
216014,name114,E96LO112,,,,,I41DH28,,,,,,,,,16,,,UI/ml,,,,,
216015,name115,E96LO113,,,,,I41DH29,,,,,,,,,17,,,UI/ml,,,,,
216016,name116,E96LO114,,,,,I41DH30,,,,,,,,,18,,,UI/ml,,,,,
216017,name117,E96LO115,,,,,I41DH31,,,,,,,,,19,,,UI/ml,,,,,
216018,name118,E96LO116,,,,,I41DH32,,,,,,,,,20,,,UI/ml,,,,,
216019,name119,E96LO117,,,,,I41DH33,,,,,,,,,21,,,UI/ml,,,,,
216020,name120,E96LO118,,,,,I41DH34,,,,,,,,,22,,,UI/ml,,,,,
216021,name121,E96LO119,,,,,I41DH35,,,,,,,,,23,,,UI/ml,,,,,
216022,name122,E96LO120,,,,,I41DH36,,,,,,,,,24,,,UI/ml,,,,,
216023,name123,E96LO121,,,,,I41DH37,,,,,,,,,25,,,UI/ml,,,,,
216024,name124,E96LO122,,,,,I41DH38,,,,,,,,,26,,,UI/ml,,,,,
216025,name125,E96LO123,,,,,I41DH39,,,,,,,,,27,,,UI/ml,,,,,
216026,name126,E96LO124,,,,,I41DH40,,,,,,,,,28,,,UI/ml,,,,,
216027,name127,E96LO125,,,,,I41DH41,,,,,,,,,29,,,UI/ml,,,,,
216028,name128,E96LO126,,,,,I41DH42,,,,,,,,,30,,,UI/ml,,,,,
216029,name129,E96LO127,,,,,I41DH43,,,,,,,,,31,,,UI/ml,,,,,
216030,name130,E96LO128,,,,,I41DH44,,,,,,,,,32,,,UI/ml,,,,,
216031,name131,E96LO129,,,,,I41DH45,,,,,,,,,33,,,UI/ml,,,,,
216032,name132,E96LO130,,,,,I41DH46,,,,,,,,,34,,,UI/ml,,,,,
216033,name133,E96LO131,,,,,I41DH47,,,,,,,,,35,,,UI/ml,,,,,
216034,name134,E96LO132,,,,,I41DH48,,,,,,,,,36,,,UI/ml,,,,,
216035,name135,E96LO133,,,,,I41DH49,,,,,,,,,37,,,UI/ml,,,,,
216036,name136,E96LO134,,,,,I41DH50,,,,,,,,,38,,,UI/ml,,,,,
216037,name137,E96LO135,,,,,I41DH51,,,,,,,,,39,,,UI/ml,,,,,
216038,name138,E96LO136,,,,,I41DH52,,,,,,,,,40,,,UI/ml,,,,,
216039,name139,E96LO137,,,,,I41DH53,,,,,,,,,41,,,UI/ml,,,,,
216040,name140,E96LO138,,,,,I41DH54,,,,,,,,,42,,,UI/ml,,,,,
216041,name141,E96LO139,,,,,I41DH55,,,,,,,,,43,,,UI/ml,,,,,
216042,name142,E96LO140,,,,,I41DH56,,,,,,,,,44,,,UI/ml,,,,,
216043,name143,E96LO141,,,,,I41DH57,,,,,,,,,45,,,UI/ml,,,,,
216044,name144,E96LO142,,,,,I41DH58,,,,,,,,,46,,,UI/ml,,,,,
216045,name145,E96LO143,,,,,I41DH59,,,,,,,,,47,,,UI/ml,,,,,
216046,name146,E96LO144,,,,,I41DH60,,,,,,,,,48,,,UI/ml,,,,,
216047,name147,E96LO145,,,,,I41DH61,,,,,,,,,49,,,UI/ml,,,,,
216048,name148,E96LO146,,,,,I41DH62,,,,,,,,,50,,,UI/ml,,,,,
216049,name149,E96LO147,,,,,I41DH63,,,,,,,,,51,,,UI/ml,,,,,
216050,name150,E96LO148,,,,,I41DH64,,,,,,,,,52,,,UI/ml,,,,,
216051,name151,E96LO149,,,,,I41DH65,,,,,,,,,53,,,UI/ml,,,,,
216052,name152,E96LO150,,,,,I41DH66,,,,,,,,,54,,,UI/ml,,,,,
216053,name153,E96LO151,,,,,I41DH67,,,,,,,,,55,,,UI/ml,,,,,
216054,name154,E96LO152,,,,,I41DH68,,,,,,,,,56,,,UI/ml,,,,,
216055,name155,E96LO153,,,,,I41DH69,,,,,,,,,57,,,UI/ml,,,,,
216056,name156,E96LO154,,,,,I41DH70,,,,,,,,,58,,,UI/ml,,,,,
216057,name157,E96LO155,,,,,I41DH71,,,,,,,,,59,,,UI/ml,,,,,
216058,name158,E96LO156,,,,,I41DH72,,,,,,,,,60,,,UI/ml,,,,,
216059,name159,E96LO157,,,,,I41DH73,,,,,,,,,61,,,UI/ml,,,,,
216060,name160,E96LO158,,,,,I41DH74,,,,,,,,,62,,,UI/ml,,,,,
216061,name161,E96LO159,,,,,I41DH75,,,,,,,,,63,,,UI/ml,,,,,
216062,name162,E96LO160,,,,,I41DH76,,,,,,,,,64,,,UI/ml,,,,,
216063,name163,E96LO161,,,,,I41DH77,,,,,,,,,65,,,UI/ml,,,,,
216064,name164,E96LO162,,,,,I41DH78,,,,,,,,,66,,,UI/ml,,,,,
216065,name165,E96LO163,,,,,I41DH79,,,,,,,,,67,,,UI/ml,,,,,
216066,name166,E96LO164,,,,,I41DH80,,,,,,,,,68,,,UI/ml,,,,,
216067,name167,E96LO165,,,,,I41DH81,,,,,,,,,69,,,UI/ml,,,,,
216068,name168,E96LO166,,,,,I41DH82,,,,,,,,,70,,,UI/ml,,,,,
216069,name169,E96LO167,,,,,I41DH83,,,,,,,,,71,,,UI/ml,,,,,
216070,name170,E96LO168,,,,,I41DH84,,,,,,,,,72,,,UI/ml,,,,,
216071,name171,E96LO169,,,,,I41DH85,,,,,,,,,73,,,UI/ml,,,,,
216072,name172,E96LO170,,,,,I41DH86,,,,,,,,,74,,,UI/ml,,,,,
216073,name173,E96LO171,,,,,I41DH87,,,,,,,,,75,,,UI/ml,,,,,
216074,name174,E96LO172,,,,,I41DH88,,,,,,,,,76,,,UI/ml,,,,,
216075,name175,E96LO173,,,,,I41DH89,,,,,,,,,77,,,UI/ml,,,,,
216076,name176,E96LO174,,,,,I41DH90,,,,,,,,,78,,,UI/ml,,,,,
216077,name177,E96LO175,,,,,I41DH91,,,,,,,,,79,,,UI/ml,,,,,
216078,name178,E96LO176,,,,,I41DH92,,,,,,,,,80,,,UI/ml,,,,,
216079,name179,E96LO177,,,,,I41DH93,,,,,,,,,81,,,UI/ml,,,,,
216080,name180,E96LO178,,,,,I41DH94,,,,,,,,,82,,,UI/ml,,,,,
216081,name181,E96LO179,,,,,I41DH95,,,,,,,,,83,,,UI/ml,,,,,
216082,name182,E96LO180,,,,,I41DH96,,,,,,,,,84,,,UI/ml,,,,,
216083,name183,E96LO181,,,,,I41DH97,,,,,,,,,85,,,UI/ml,,,,,
216084,name184,E96LO182,,,,,I41DH98,,,,,,,,,86,,,UI/ml,,,,,
216085,name185,E96LO183,,,,,I41DH99,,,,,,,,,87,,,UI/ml,,,,,
216086,name186,E96LO184,,,,,I41DH100,,,,,,,,,88,,,UI/ml,,,,,
216087,name187,E96LO185,,,,,I41DH101,,,,,,,,,89,,,UI/ml,,,,,
216088,name188,E96LO186,,,,,I41DH102,,,,,,,,,90,,,UI/ml,,,,,
216089,name189,E96LO187,,,,,I41DH103,,,,,,,,,91,,,UI/ml,,,,,
216090,name190,E96LO188,,,,,I41DH104,,,,,,,,,92,,,UI/ml,,,,,
216091,name191,E96LO189,,,,,I41DH105,,,,,,,,,93,,,UI/ml,,,,,
216092,name192,E96LO190,,,,,I41DH106,,,,,,,,,94,,,UI/ml,,,,,
216093,name193,E96LO191,,,,,I41DH107,,,,,,,,,95,,,UI/ml,,,,,
216094,name194,E96LO192,,,,,I41DH108,,,,,,,,,96,,,UI/ml,,,,,
216095,name195,E96LO193,,,,,I41DH109,,,,,,,,,97,,,UI/ml,,,,,
216096,name196,E96LO194,,,,,I41DH110,,,,,,,,,98,,,UI/ml,,,,,
216097,name197,E96LO195,,,,,I41DH111,,,,,,,,,99,,,UI/ml,,,,,
216098,name198,E96LO196,,,,,I41DH112,,,,,,,,,100,,,UI/ml,,,,,
216099,name199,E96LO197,,,,,I41DH113,,,,,,,,,101,,,UI/ml,,,,,
216100,name200,E96LO198,,,,,I41DH114,,,,,,,,,102,,,UI/ml,,,,,
216101,name201,E96LO199,,,,,I41DH115,,,,,,,,,103,,,UI/ml,,,,,
216102,name202,E96LO200,,,,,I41DH116,,,,,,,,,104,,,UI/ml,,,,,
216103,name203,E96LO201,,,,,I41DH117,,,,,,,,,105,,,UI/ml,,,,,
216104,name204,E96LO202,,,,,I41DH118,,,,,,,,,106,,,UI/ml,,,,,
216105,name205,E96LO203,,,,,I41DH119,,,,,,,,,107,,,UI/ml,,,,,
216106,name206,E96LO204,,,,,I41DH120,,,,,,,,,108,,,UI/ml,,,,,
216107,name207,E96LO205,,,,,I41DH121,,,,,,,,,109,,,UI/ml,,,,,
216108,name208,E96LO206,,,,,I41DH122,,,,,,,,,110,,,UI/ml,,,,,
216109,name209,E96LO207,,,,,I41DH123,,,,,,,,,111,,,UI/ml,,,,,
